ID,Country,ISO,Population,GDP,GDP_per_capita,Life_expectancy,CO2_emissions
1,Canada,CAN,38000000,1800000000000,47368,82.3,15.0
2,United States,USA,331000000,23000000000000,69577,78.8,14.7
3,Mexico,MEX,128000000,1300000000000,10156,75.0,3.9
4,Brazil,BRA,213000000,1600000000000,7512,75.5,2.3
5,Argentina,ARG,45000000,450000000000,10000,76.7,4.5
6,Chile,CHL,19000000,317000000000,16684,80.0,4.4
7,Colombia,COL,51000000,320000000000,6274,77.2,2.0
8,Peru,PER,33000000,225000000000,6818,76.5,1.9
9,Venezuela,VEN,28000000,70000000000,2500,72.1,5.0
10,Cuba,CUB,11300000,100000000000,8849,79.2,2.6
11,Dominican Republic,DOM,11000000,94000000000,8545,74.5,2.3
12,Guatemala,GTM,18000000,85000000000,4722,74.3,1.6
13,Honduras,HND,10000000,28000000000,2800,73.8,1.1
14,Costa Rica,CRI,5100000,64000000000,12549,80.4,1.6
15,Panama,PAN,4400000,70000000000,15909,78.5,2.5
16,Jamaica,JAM,3000000,17000000000,5667,74.1,2.0
17,El Salvador,SLV,6500000,31000000000,4769,73.1,1.4
18,Nicaragua,NIC,6600000,14000000000,2121,74.7,0.9
19,Haiti,HTI,11400000,14000000000,1228,64.0,0.3
20,Bolivia,BOL,12000000,40000000000,3333,71.5,1.7
21,United Kingdom,GBR,67000000,3100000000000,46269,81.2,5.5
22,France,FRA,65000000,2900000000000,44615,82.5,4.8
23,Germany,DEU,83000000,4200000000000,50602,81.0,8.4
24,Italy,ITA,60000000,2100000000000,35000,83.4,5.9
25,Spain,ESP,47000000,1500000000000,31915,83.1,5.1
26,Portugal,PRT,10000000,250000000000,25000,81.9,4.0
27,Netherlands,NLD,17500000,1000000000000,57143,82.0,9.5
28,Belgium,BEL,11500000,550000000000,47826,81.7,8.0
29,Sweden,SWE,10400000,600000000000,57692,82.8,3.5
30,Norway,NOR,5400000,480000000000,88889,82.9,8.3
31,Denmark,DNK,5900000,400000000000,67797,81.4,5.6
32,Finland,FIN,5500000,300000000000,54545,82.3,7.7
33,Ireland,IRL,5000000,500000000000,100000,82.6,7.8
34,Switzerland,CHE,8700000,800000000000,91954,83.6,4.4
35,Austria,AUT,9000000,480000000000,53333,81.8,6.8
36,Poland,POL,38000000,700000000000,18421,78.0,8.2
37,Czechia,CZE,10700000,280000000000,26168,79.2,9.0
38,Hungary,HUN,9600000,180000000000,18750,76.8,5.2
39,Greece,GRC,10700000,220000000000,20561,81.0,6.4
40,Romania,ROU,19000000,300000000000,15789,75.6,3.6
41,Russia,RUS,145000000,1700000000000,11724,72.4,11.5
42,Ukraine,UKR,41000000,150000000000,3659,72.0,5.0
43,Turkey,TUR,84000000,800000000000,9524,77.7,4.4
44,China,CHN,1410000000,17000000000000,12057,77.3,7.4
